char_id,char_state,depends_upon_char,depends_upon_state

15,0,14,1
15,1,14,1
17,0,14,1
17,1,14,1
17,2,14,1
19,0,18,1
19,1,18,1
23,0,25,0
23,1,25,0
24,0,25,0
24,1,25,0
24,2,25,0
24,3,25,0
24,4,25,0
24,5,25,0
24,6,25,0
24,7,25,0
26,0,25,0
26,1,25,0
32,0,25,0
32,1,25,0
32,2,25,0
33,0,25,0
33,1,25,0
34,0,25,0
34,1,25,0
34,2,25,0
35,0,25,0
35,1,25,0
35,2,15,0
36,2,36,1
36,3,36,1
37,0,36,1
37,1,36,1
37,2,36,1
70,0,69,0
70,1,69,0
73,0,72,0
73,1,72,0
86,0,85,1
86,1,85,1
87,0,85,0
87,1,85,0
89,0,81,1
89,1,81,1
89,2,81,1
92,0,88,0
92,1,88,0
101,0,100,1
101,1,100,1
107,0,106,1
107,1,106,1
122,0,121,1
122,1,121,1
125,0,124,1
125,1,124,1
126,0,124,1
126,1,124,1
128,0,127,1
128,1,127,1
143,0,142,1
143,1,142,1
158,0,157,1
158,1,157,1
159,0,157,1
159,1,157,1
186,0,185,1
186,1,185,1
184,1,218,1
184,0,218,1
191,0,190,1
191,1,190,1
192,1,191,1
192,0,191,0
199,0,198,1
199,1,198,1
204,0,203,1
204,1,203,1
213,0,212,0
213,1,212,0
214,1,212,0
214,0,212,0
223,0,218,0
223,1,218,0
230,0,229,1
230,1,229,1
232,0,231,1
232,1,231,1
266,0,263,1
266,1,263,1
267,1,262,2
267,0,262,2
271,0,262,1
271,1,262,2
272,0,262,2
272,1,262,2
286,0,285,2
286,1,285,2
288,0,100,1
288,1,100,1
289,0,100,1
289,1,100,1
290,0,100,1
290,1,100,1
316,0,315,1
316,1,315,1
321,0,320,1
321,1,320,1
390,0,391,1
390,1,391,1
